Filename,Nref,Nsys,Ncorr,Precision,Recall,Ave. F-measure,Ave. Overlap
PQ02_Elgar_tutti.mid,235,226,5,0.022124,0.021277,0.021692,0.891720
PQ03_Farranc_tutti.mid,296,191,10,0.052356,0.033784,0.041068,0.844906
PS01_Beethoven_tutti.mid,138,184,13,0.070652,0.094203,0.080745,0.865051
PS02_Chopin_tutti.mid,117,143,9,0.062937,0.076923,0.069231,0.817310
PS03_Mozart_tutti.mid,193,150,5,0.033333,0.025907,0.029155,0.782348
SQ01_Beethoven_tutti.mid,96,253,1,0.003953,0.010417,0.005731,0.965517
SQ02_Janacek_tutti.mid,154,144,10,0.069444,0.064935,0.067114,0.821473
SQ03_Schubert_tutti.mid,318,147,4,0.027211,0.012579,0.017204,0.771518
VS01_Schumann_tutti.mid,401,132,3,0.022727,0.007481,0.011257,0.780556
VS04_Franck_tutti.mid,311,218,16,0.073394,0.051447,0.060491,0.821728

,,,Ave.,0.043813,0.039895,0.040369,0.836213
