Filename,Nref,Nsys,Ncorr,Precision,Recall,Ave. F-measure,Ave. Overlap
PQ02_Elgar_tutti.mid,235,226,7,0.030973,0.029787,0.030369,0.890735
PQ03_Farranc_tutti.mid,296,191,18,0.094241,0.060811,0.073922,0.828054
PS01_Beethoven_tutti.mid,138,184,14,0.076087,0.101449,0.086957,0.860566
PS02_Chopin_tutti.mid,117,143,11,0.076923,0.094017,0.084615,0.816725
PS03_Mozart_tutti.mid,193,150,9,0.060000,0.046632,0.052478,0.805537
SQ01_Beethoven_tutti.mid,96,253,2,0.007905,0.020833,0.011461,0.954124
SQ02_Janacek_tutti.mid,154,144,15,0.104167,0.097403,0.100671,0.827076
SQ03_Schubert_tutti.mid,318,147,7,0.047619,0.022013,0.030108,0.754672
VS01_Schumann_tutti.mid,401,132,9,0.068182,0.022444,0.033771,0.756884
VS04_Franck_tutti.mid,311,218,22,0.100917,0.070740,0.083176,0.804211

,,,Ave.,0.043813,0.039895,0.040369,0.836213
