Filename,Nref,Nsys,Ncorr,Precision,Recall,Ave. F-measure,Ave. Overlap
PQ02_Elgar_tutti.mid,235,194,11,0.056701,0.046809,0.051282,0.897932
PQ03_Farranc_tutti.mid,296,126,19,0.150794,0.064189,0.090047,0.829044
PS01_Beethoven_tutti.mid,138,179,18,0.100559,0.130435,0.113565,0.849580
PS02_Chopin_tutti.mid,117,98,9,0.091837,0.076923,0.083721,0.843860
PS03_Mozart_tutti.mid,193,178,12,0.067416,0.062176,0.064690,0.839797
SQ01_Beethoven_tutti.mid,96,220,0,0.000000,0.000000,NaN,NaN
SQ02_Janacek_tutti.mid,154,111,11,0.099099,0.071429,0.083019,0.836260
SQ03_Schubert_tutti.mid,318,182,14,0.076923,0.044025,0.056000,0.843694
VS01_Schumann_tutti.mid,401,174,13,0.074713,0.032419,0.045217,0.827298
VS04_Franck_tutti.mid,311,216,17,0.078704,0.054662,0.064516,0.853127

,,,Ave.,0.079674,0.058307,0.065206,0.762059
