Filename,Nref,Nsys,Ncorr,Precision,Recall,Ave. F-measure,Ave. Overlap
PQ02_Elgar_tutti.mid,235,350,8,0.022857,0.034043,0.027350,0.887534
PQ03_Farranc_tutti.mid,296,429,26,0.060606,0.087838,0.071724,0.843692
PS01_Beethoven_tutti.mid,138,386,24,0.062176,0.173913,0.091603,0.850096
PS02_Chopin_tutti.mid,117,237,12,0.050633,0.102564,0.067797,0.861007
PS03_Mozart_tutti.mid,193,345,23,0.066667,0.119171,0.085502,0.806039
SQ01_Beethoven_tutti.mid,96,504,3,0.005952,0.031250,0.010000,0.808783
SQ02_Janacek_tutti.mid,154,186,15,0.080645,0.097403,0.088235,0.831060
SQ03_Schubert_tutti.mid,318,354,23,0.064972,0.072327,0.068452,0.778107
VS01_Schumann_tutti.mid,401,348,15,0.043103,0.037406,0.040053,0.800415
VS04_Franck_tutti.mid,311,491,46,0.093686,0.147910,0.114713,0.852801

,,,Ave.,0.041011,0.068788,0.049946,0.835936
