Filename,Nref,Nsys,Ncorr,Precision,Recall,Ave. F-measure,Ave. Overlap
PQ02_Elgar_tutti.mid,235,350,5,0.014286,0.021277,0.017094,0.887130
PQ03_Farranc_tutti.mid,296,429,16,0.037296,0.054054,0.044138,0.857386
PS01_Beethoven_tutti.mid,138,386,20,0.051813,0.144928,0.076336,0.848325
PS02_Chopin_tutti.mid,117,237,12,0.050633,0.102564,0.067797,0.861007
PS03_Mozart_tutti.mid,193,345,17,0.049275,0.088083,0.063197,0.818742
SQ01_Beethoven_tutti.mid,96,504,2,0.003968,0.020833,0.006667,0.793006
SQ02_Janacek_tutti.mid,154,186,12,0.064516,0.077922,0.070588,0.837201
SQ03_Schubert_tutti.mid,318,354,15,0.042373,0.047170,0.044643,0.825616
VS01_Schumann_tutti.mid,401,348,10,0.028736,0.024938,0.026702,0.770164
VS04_Franck_tutti.mid,311,491,33,0.067210,0.106109,0.082294,0.860782

,,,Ave.,0.041011,0.068788,0.049946,0.835936
