Filename,Nref,Nsys,Ncorr,Precision,Recall,Ave. F-measure,Ave. Overlap
PQ02_Elgar_tutti.mid,235,350,43,0.122857,0.182979,0.147009,0.373509
PQ03_Farranc_tutti.mid,296,429,109,0.254079,0.368243,0.300690,0.475141
PS01_Beethoven_tutti.mid,138,386,58,0.150259,0.420290,0.221374,0.577101
PS02_Chopin_tutti.mid,117,237,46,0.194093,0.393162,0.259887,0.560217
PS03_Mozart_tutti.mid,193,345,121,0.350725,0.626943,0.449814,0.455599
SQ01_Beethoven_tutti.mid,96,504,30,0.059524,0.312500,0.100000,0.246601
SQ02_Janacek_tutti.mid,154,186,54,0.290323,0.350649,0.317647,0.537931
SQ03_Schubert_tutti.mid,318,354,110,0.310734,0.345912,0.327381,0.438462
VS01_Schumann_tutti.mid,401,348,127,0.364943,0.316708,0.339119,0.378907
VS04_Franck_tutti.mid,311,491,118,0.240326,0.379421,0.294264,0.572644

,,,Ave.,0.189880,0.301341,0.224843,0.495246
