Filename,Nref,Nsys,Ncorr,Precision,Recall,Ave. F-measure,Ave. Overlap
PQ02_Elgar_tutti.mid,235,455,32,0.070330,0.136170,0.092754,0.506844
PQ03_Farranc_tutti.mid,296,379,82,0.216359,0.277027,0.242963,0.474489
PS01_Beethoven_tutti.mid,138,490,41,0.083673,0.297101,0.130573,0.486983
PS02_Chopin_tutti.mid,117,236,42,0.177966,0.358974,0.237960,0.535997
PS03_Mozart_tutti.mid,193,287,116,0.404181,0.601036,0.483333,0.462608
SQ01_Beethoven_tutti.mid,96,522,15,0.028736,0.156250,0.048544,0.283738
SQ02_Janacek_tutti.mid,154,193,52,0.269430,0.337662,0.299712,0.608432
SQ03_Schubert_tutti.mid,318,286,84,0.293706,0.264151,0.278146,0.448120
VS01_Schumann_tutti.mid,401,309,88,0.284790,0.219451,0.247887,0.372234
VS04_Franck_tutti.mid,311,448,82,0.183036,0.263666,0.216074,0.595736

,,,Ave.,0.201221,0.291149,0.227795,0.477518
