Filename,Nref,Nsys,Ncorr,Precision,Recall,Ave. F-measure,Ave. Overlap
PQ02_Elgar_tutti.mid,235,455,10,0.021978,0.042553,0.028986,0.899567
PQ03_Farranc_tutti.mid,296,379,23,0.060686,0.077703,0.068148,0.840371
PS01_Beethoven_tutti.mid,138,490,7,0.014286,0.050725,0.022293,0.831390
PS02_Chopin_tutti.mid,117,236,8,0.033898,0.068376,0.045326,0.823294
PS03_Mozart_tutti.mid,193,287,21,0.073171,0.108808,0.087500,0.814600
SQ01_Beethoven_tutti.mid,96,522,1,0.001916,0.010417,0.003236,0.809160
SQ02_Janacek_tutti.mid,154,193,21,0.108808,0.136364,0.121037,0.831172
SQ03_Schubert_tutti.mid,318,286,15,0.052448,0.047170,0.049669,0.849307
VS01_Schumann_tutti.mid,401,309,12,0.038835,0.029925,0.033803,0.792742
VS04_Franck_tutti.mid,311,448,31,0.069196,0.099678,0.081686,0.850704

,,,Ave.,0.036421,0.052069,0.041638,0.837131
