Filename,Nref,Nsys,Ncorr,Precision,Recall,Ave. F-measure,Ave. Overlap
PQ02_Elgar_tutti.mid,235,455,47,0.103297,0.200000,0.136232,0.370731
PQ03_Farranc_tutti.mid,296,379,99,0.261214,0.334459,0.293333,0.484414
PS01_Beethoven_tutti.mid,138,490,46,0.093878,0.333333,0.146497,0.461055
PS02_Chopin_tutti.mid,117,236,49,0.207627,0.418803,0.277620,0.500324
PS03_Mozart_tutti.mid,193,287,128,0.445993,0.663212,0.533333,0.466546
SQ01_Beethoven_tutti.mid,96,522,33,0.063218,0.343750,0.106796,0.203792
SQ02_Janacek_tutti.mid,154,193,63,0.326425,0.409091,0.363112,0.572017
SQ03_Schubert_tutti.mid,318,286,106,0.370629,0.333333,0.350993,0.400242
VS01_Schumann_tutti.mid,401,309,109,0.352751,0.271820,0.307042,0.384915
VS04_Franck_tutti.mid,311,448,103,0.229911,0.331190,0.271410,0.561548

,,,Ave.,0.201221,0.291149,0.227795,0.477518
