Filename,Nref,Nsys,Ncorr,Precision,Recall,Ave. F-measure,Ave. Overlap
PQ02_Elgar_tutti.mid,235,163,21,0.128834,0.089362,0.105528,0.573714
PQ03_Farranc_tutti.mid,296,163,64,0.392638,0.216216,0.278867,0.558558
PS01_Beethoven_tutti.mid,138,138,46,0.333333,0.333333,0.333333,0.581169
PS02_Chopin_tutti.mid,117,86,33,0.383721,0.282051,0.325123,0.563117
PS03_Mozart_tutti.mid,193,148,78,0.527027,0.404145,0.457478,0.498936
SQ01_Beethoven_tutti.mid,96,222,6,0.027027,0.062500,0.037736,0.088968
SQ02_Janacek_tutti.mid,154,120,58,0.483333,0.376623,0.423358,0.566670
SQ03_Schubert_tutti.mid,318,144,56,0.388889,0.176101,0.242424,0.467355
VS01_Schumann_tutti.mid,401,122,49,0.401639,0.122195,0.187380,0.443409
VS04_Franck_tutti.mid,311,178,60,0.337079,0.192926,0.245399,0.561316

,,,Ave.,0.288951,0.194980,0.226732,0.509166
