Filename,Nref,Nsys,Ncorr,Precision,Recall,Ave. F-measure,Ave. Overlap
PQ02_Elgar_tutti.mid,235,163,14,0.085890,0.059574,0.070352,0.644222
PQ03_Farranc_tutti.mid,296,163,51,0.312883,0.172297,0.222222,0.558130
PS01_Beethoven_tutti.mid,138,138,46,0.333333,0.333333,0.333333,0.579375
PS02_Chopin_tutti.mid,117,86,30,0.348837,0.256410,0.295567,0.597997
PS03_Mozart_tutti.mid,193,148,76,0.513514,0.393782,0.445748,0.495321
SQ01_Beethoven_tutti.mid,96,222,4,0.018018,0.041667,0.025157,0.105669
SQ02_Janacek_tutti.mid,154,120,47,0.391667,0.305195,0.343066,0.595089
SQ03_Schubert_tutti.mid,318,144,43,0.298611,0.135220,0.186147,0.520465
VS01_Schumann_tutti.mid,401,122,38,0.311475,0.094763,0.145315,0.426386
VS04_Franck_tutti.mid,311,178,49,0.275281,0.157556,0.200409,0.569006

,,,Ave.,0.288951,0.194980,0.226732,0.509166
