Filename,Nref,Nsys,Ncorr,Precision,Recall,Ave. F-measure,Ave. Overlap
PQ02_Elgar_tutti.mid,235,367,33,0.089918,0.140426,0.109635,0.556525
PQ03_Farranc_tutti.mid,296,370,82,0.221622,0.277027,0.246246,0.484497
PS01_Beethoven_tutti.mid,138,322,46,0.142857,0.333333,0.200000,0.545150
PS02_Chopin_tutti.mid,117,199,40,0.201005,0.341880,0.253165,0.569923
PS03_Mozart_tutti.mid,193,304,113,0.371711,0.585492,0.454728,0.468362
SQ01_Beethoven_tutti.mid,96,528,14,0.026515,0.145833,0.044872,0.264203
SQ02_Janacek_tutti.mid,154,185,51,0.275676,0.331169,0.300885,0.578944
SQ03_Schubert_tutti.mid,318,301,78,0.259136,0.245283,0.252019,0.448027
VS01_Schumann_tutti.mid,401,312,90,0.288462,0.224439,0.252454,0.371976
VS04_Franck_tutti.mid,311,476,88,0.184874,0.282958,0.223634,0.612289

,,,Ave.,0.206178,0.290784,0.233764,0.489990
