Filename,Nref,Nsys,Ncorr,Precision,Recall,Ave. F-measure,Ave. Overlap
PQ02_Elgar_tutti.mid,235,367,42,0.114441,0.178723,0.139535,0.462879
PQ03_Farranc_tutti.mid,296,370,93,0.251351,0.314189,0.279279,0.492481
PS01_Beethoven_tutti.mid,138,322,47,0.145963,0.340580,0.204348,0.541659
PS02_Chopin_tutti.mid,117,199,44,0.221106,0.376068,0.278481,0.559036
PS03_Mozart_tutti.mid,193,304,123,0.404605,0.637306,0.494970,0.459037
SQ01_Beethoven_tutti.mid,96,528,32,0.060606,0.333333,0.102564,0.220685
SQ02_Janacek_tutti.mid,154,185,59,0.318919,0.383117,0.348083,0.542554
SQ03_Schubert_tutti.mid,318,301,104,0.345515,0.327044,0.336026,0.389913
VS01_Schumann_tutti.mid,401,312,114,0.365385,0.284289,0.319776,0.387179
VS04_Franck_tutti.mid,311,476,113,0.237395,0.363344,0.287166,0.565632

,,,Ave.,0.206178,0.290784,0.233764,0.489990
