Filename,Nref,Nsys,Ncorr,Precision,Recall,Ave. F-measure,Ave. Overlap
PQ02_Elgar_tutti.mid,235,367,15,0.040872,0.063830,0.049834,0.893066
PQ03_Farranc_tutti.mid,296,370,23,0.062162,0.077703,0.069069,0.845351
PS01_Beethoven_tutti.mid,138,322,13,0.040373,0.094203,0.056522,0.870771
PS02_Chopin_tutti.mid,117,199,9,0.045226,0.076923,0.056962,0.854032
PS03_Mozart_tutti.mid,193,304,23,0.075658,0.119171,0.092555,0.766337
SQ01_Beethoven_tutti.mid,96,528,1,0.001894,0.010417,0.003205,0.757143
SQ02_Janacek_tutti.mid,154,185,18,0.097297,0.116883,0.106195,0.814253
SQ03_Schubert_tutti.mid,318,301,14,0.046512,0.044025,0.045234,0.839006
VS01_Schumann_tutti.mid,401,312,12,0.038462,0.029925,0.033661,0.767687
VS04_Franck_tutti.mid,311,476,42,0.088235,0.135048,0.106734,0.851235

,,,Ave.,0.041873,0.059943,0.048540,0.754959
