Filename,Nref,Nsys,Ncorr,Precision,Recall,Ave. F-measure,Ave. Overlap
PQ02_Elgar_tutti.mid,235,208,39,0.187500,0.165957,0.176072,0.559744
PQ03_Farranc_tutti.mid,296,139,77,0.553957,0.260135,0.354023,0.574789
PS01_Beethoven_tutti.mid,138,189,65,0.343915,0.471014,0.397554,0.564126
PS02_Chopin_tutti.mid,117,109,51,0.467890,0.435897,0.451327,0.544455
PS03_Mozart_tutti.mid,193,181,133,0.734807,0.689119,0.711230,0.502357
SQ01_Beethoven_tutti.mid,96,210,11,0.052381,0.114583,0.071895,0.302455
SQ02_Janacek_tutti.mid,154,140,58,0.414286,0.376623,0.394558,0.591459
SQ03_Schubert_tutti.mid,318,189,85,0.449735,0.267296,0.335306,0.460575
VS01_Schumann_tutti.mid,401,192,112,0.583333,0.279302,0.377740,0.484159
VS04_Franck_tutti.mid,311,235,97,0.412766,0.311897,0.355311,0.539948

,,,Ave.,0.367401,0.297539,0.319019,0.540589
