Filename,Nref,Nsys,Ncorr,Precision,Recall,Ave. F-measure,Ave. Overlap
PQ02_Elgar_tutti.mid,235,208,15,0.072115,0.063830,0.067720,0.897062
PQ03_Farranc_tutti.mid,296,139,31,0.223022,0.104730,0.142529,0.833057
PS01_Beethoven_tutti.mid,138,189,22,0.116402,0.159420,0.134557,0.873611
PS02_Chopin_tutti.mid,117,109,12,0.110092,0.102564,0.106195,0.829247
PS03_Mozart_tutti.mid,193,181,17,0.093923,0.088083,0.090909,0.830279
SQ01_Beethoven_tutti.mid,96,210,0,0.000000,0.000000,NaN,NaN
SQ02_Janacek_tutti.mid,154,140,17,0.121429,0.110390,0.115646,0.812171
SQ03_Schubert_tutti.mid,318,189,17,0.089947,0.053459,0.067061,0.881033
VS01_Schumann_tutti.mid,401,192,26,0.135417,0.064838,0.087690,0.823680
VS04_Franck_tutti.mid,311,235,27,0.114894,0.086817,0.098901,0.847739

,,,Ave.,0.087367,0.069861,0.075196,0.764481
