Filename,Nref,Nsys,Ncorr,Precision,Recall,Ave. F-measure,Ave. Overlap
PQ02_Elgar_tutti.mid,235,208,29,0.139423,0.123404,0.130926,0.597405
PQ03_Farranc_tutti.mid,296,139,71,0.510791,0.239865,0.326437,0.567204
PS01_Beethoven_tutti.mid,138,189,63,0.333333,0.456522,0.385321,0.595655
PS02_Chopin_tutti.mid,117,109,48,0.440367,0.410256,0.424779,0.551492
PS03_Mozart_tutti.mid,193,181,129,0.712707,0.668394,0.689840,0.498182
SQ01_Beethoven_tutti.mid,96,210,7,0.033333,0.072917,0.045752,0.415800
SQ02_Janacek_tutti.mid,154,140,47,0.335714,0.305195,0.319728,0.621619
SQ03_Schubert_tutti.mid,318,189,72,0.380952,0.226415,0.284024,0.513643
VS01_Schumann_tutti.mid,401,192,85,0.442708,0.211970,0.286678,0.472421
VS04_Franck_tutti.mid,311,235,81,0.344681,0.260450,0.296703,0.572468

,,,Ave.,0.367401,0.297539,0.319019,0.540589
