Filename,Nref,Nsys,Ncorr,Precision,Recall,Ave. F-measure,Ave. Overlap
PQ02_Elgar_tutti.mid,235,405,5,0.012346,0.021277,0.015625,0.889150
PQ03_Farranc_tutti.mid,296,433,16,0.036952,0.054054,0.043896,0.852205
PS01_Beethoven_tutti.mid,138,517,19,0.036750,0.137681,0.058015,0.844156
PS02_Chopin_tutti.mid,117,274,11,0.040146,0.094017,0.056266,0.841060
PS03_Mozart_tutti.mid,193,300,14,0.046667,0.072539,0.056795,0.819500
SQ01_Beethoven_tutti.mid,96,477,1,0.002096,0.010417,0.003490,0.805310
SQ02_Janacek_tutti.mid,154,167,13,0.077844,0.084416,0.080997,0.854048
SQ03_Schubert_tutti.mid,318,320,14,0.043750,0.044025,0.043887,0.811347
VS01_Schumann_tutti.mid,401,332,10,0.030120,0.024938,0.027285,0.774483
VS04_Franck_tutti.mid,311,442,28,0.063348,0.090032,0.074369,0.841379

,,,Ave.,0.039002,0.063339,0.046063,0.833264
