Filename,Nref,Nsys,Ncorr,Precision,Recall,Ave. F-measure,Ave. Overlap
PQ02_Elgar_tutti.mid,235,405,30,0.074074,0.127660,0.093750,0.472160
PQ03_Farranc_tutti.mid,296,433,90,0.207852,0.304054,0.246914,0.503202
PS01_Beethoven_tutti.mid,138,517,54,0.104449,0.391304,0.164885,0.583270
PS02_Chopin_tutti.mid,117,274,43,0.156934,0.367521,0.219949,0.576892
PS03_Mozart_tutti.mid,193,300,107,0.356667,0.554404,0.434077,0.446767
SQ01_Beethoven_tutti.mid,96,477,17,0.035639,0.177083,0.059337,0.309362
SQ02_Janacek_tutti.mid,154,167,43,0.257485,0.279221,0.267913,0.628219
SQ03_Schubert_tutti.mid,318,320,81,0.253125,0.254717,0.253918,0.462408
VS01_Schumann_tutti.mid,401,332,101,0.304217,0.251870,0.275580,0.386935
VS04_Franck_tutti.mid,311,442,78,0.176471,0.250804,0.207171,0.625411

,,,Ave.,0.192691,0.295864,0.222349,0.499463
